fieldbeat_task_id,task_type,state,priority,client_key,created_at,updated_at
1692,,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-28T21:30:46.662Z,2022-11-18T11:36:23.215Z
1693,REQUERIMIENTO DEL CLIENTE,FINISHED,2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-10-28T21:32:42.810Z,2022-10-28T21:41:43.743Z
1694,,ARCHIVED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-02T12:01:56.089Z,2022-11-03T14:02:04.582Z
1695,CORRECTIVA NO PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-02T12:03:18.019Z,2022-11-02T12:45:24.377Z
1698,CORRECTIVA PROGRAMADA,FINISHED,3,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-02T12:05:50.503Z,2022-11-02T12:40:47.826Z
1699,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-02T22:55:41.443Z,2022-11-02T23:57:10.061Z
1701,CORRECTIVA NO PROGRAMADA,ON_ROUTE,2,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2022-11-03T12:45:07.106Z,2024-06-19T16:12:23.833Z
1703,CORRECTIVA PROGRAMADA,ARCHIVED,2,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2022-11-03T13:11:18.662Z,2023-11-17T13:36:17.552Z
1706,CORRECTIVA PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-05T14:57:05.916Z,2022-11-05T15:29:19.222Z
1707,CORRECTIVA NO PROGRAMADA,FINISHED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-05T22:05:14.896Z,2022-11-12T12:42:54.350Z
1708,CORRECTIVA NO PROGRAMADA,ARCHIVED,1,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2022-11-05T22:05:14.896Z,2022-11-10T10:18:34.841Z
