bridge_id,zendesk_ticket_id,fieldbeat_task_id,link_method,confidence,created_at
9999|1487,9999,1487,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
825460|1488,825460,1488,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
439533|1490,439533,1490,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1491,0101,1491,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
900438|1492,900438,1492,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
883541|1494,883541,1494,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
293312|1496,293312,1496,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
755004|1497,755004,1497,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
339909|1498,339909,1498,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
417278|1499,417278,1499,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
993911|1500,993911,1500,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
867282|1501,867282,1501,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
844620|1502,844620,1502,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
654641|1504,654641,1504,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
549574|1505,549574,1505,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
844620|1506,844620,1506,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
808492|1508,808492,1508,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
162775|1509,162775,1509,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
4445992|1510,4445992,1510,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
588386|1511,588386,1511,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
466517|1512,466517,1512,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
720301|1513,720301,1513,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1514,0101,1514,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1516,9999,1516,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
520423|1517,520423,1517,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
837172|1518,837172,1518,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
520423|1521,520423,1521,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
335280|1523,335280,1523,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
919979|1525,919979,1525,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1526,0101,1526,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
983998|1527,983998,1527,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1528,777777,1528,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
494456|1529,494456,1529,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
137421|1530,137421,1530,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1531,9999,1531,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
414306|1532,414306,1532,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
242713|1534,242713,1534,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
477000|1535,477000,1535,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
242713|1537,242713,1537,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
591426|1538,591426,1538,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
134319|1539,134319,1539,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
478766|1541,478766,1541,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
392327|1543,392327,1543,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
201212|1544,201212,1544,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1545,777777,1545,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1547,777777,1547,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1549,9999,1549,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
120365|1550,120365,1550,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
152475|1552,152475,1552,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
650855|1553,650855,1553,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
130783|1554,130783,1554,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
968806|1555,968806,1555,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0000|1556,0000,1556,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0101|1557,0101,1557,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
5555|1560,5555,1560,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999|1561,9999,1561,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1562,777777,1562,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
330260|1564,330260,1564,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
9999999|1565,9999999,1565,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
736046|1567,736046,1567,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
555|1568,555,1568,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
727739|1579,727739,1579,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
672716|1582,672716,1582,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
621172|1583,621172,1583,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
777777|1585,777777,1585,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
0001|1586,0001,1586,fieldbeat_report_ticket_number,1,2026-08-06T07:10:55.306Z
