zendesk_ticket_id,status,error_detail
936823,NOT_FOUND,
719390,NOT_FOUND,
362745,NOT_FOUND,
281588,NOT_FOUND,
868853,NOT_FOUND,
709670,NOT_FOUND,
603315,NOT_FOUND,
177629,NOT_FOUND,
904316,NOT_FOUND,
256105,NOT_FOUND,
823383,NOT_FOUND,
958224,NOT_FOUND,
721393,NOT_FOUND,
668704,NOT_FOUND,
764386,NOT_FOUND,
394156,NOT_FOUND,
173501,NOT_FOUND,
711824,NOT_FOUND,
455550,NOT_FOUND,
163562,NOT_FOUND,
6722,NOT_FOUND,
6723,NOT_FOUND,
1000000000,NOT_FOUND,
938,NOT_FOUND,
0000000,NOT_FOUND,
1013,NOT_FOUND,
100026,NOT_FOUND,
0203,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
010101,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
0101,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
5,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
45,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
42,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
68,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
90,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
93,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
70,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
38,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
144,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
143,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
133,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
128,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
159,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
148,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
168,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
170,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
180,ERROR,"403 Forbidden: {
  ""error"": {
    ""title"": ""Forbidden"",
    ""message"": ""You do not have access to this page. Please contact the account owner of this help desk for further help.""
  }
}
"
