bridge_id,missing_zendesk_ticket_id,fieldbeat_task_id,task_type,state,client_key,created_at,link_method
163167|2192,163167,2192,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-11-07T16:58:21.410Z,fieldbeat_report_ticket_number
670601|2193,670601,2193,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-11-08T11:57:39.714Z,fieldbeat_report_ticket_number
888306|2197,888306,2197,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2023-11-10T21:44:12.280Z,fieldbeat_report_ticket_number
808156|2200,808156,2200,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-11-13T13:24:08.753Z,fieldbeat_report_ticket_number
560333|2205,560333,2205,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2023-11-16T19:37:16.454Z,fieldbeat_report_ticket_number
210522|2213,210522,2213,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-11-20T17:13:01.222Z,fieldbeat_report_ticket_number
593101|2214,593101,2214,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2023-11-23T11:55:26.902Z,fieldbeat_report_ticket_number
210522|2215,210522,2215,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2023-11-23T16:02:40.598Z,fieldbeat_report_ticket_number
252179|2216,252179,2216,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2023-11-24T21:52:54.507Z,fieldbeat_report_ticket_number
566921|2217,566921,2217,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-11-27T12:43:43.536Z,fieldbeat_report_ticket_number
775465|2218,775465,2218,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-11-28T12:12:55.760Z,fieldbeat_report_ticket_number
998584|2223,998584,2223,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-12-07T23:32:27.900Z,fieldbeat_report_ticket_number
301318|2224,301318,2224,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2023-12-11T11:16:03.647Z,fieldbeat_report_ticket_number
125896|2230,125896,2230,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|ACME,2023-12-18T16:12:12.429Z,fieldbeat_report_ticket_number
737478|2232,737478,2232,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2023-12-23T00:14:03.351Z,fieldbeat_report_ticket_number
979673|2237,979673,2237,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-12-27T13:12:58.557Z,fieldbeat_report_ticket_number
183512|2240,183512,2240,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2023-12-29T01:27:45.806Z,fieldbeat_report_ticket_number
257565|2245,257565,2245,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-01-04T22:07:45.189Z,fieldbeat_report_ticket_number
989244|2248,989244,2248,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2024-01-08T18:34:17.501Z,fieldbeat_report_ticket_number
914691|2250,914691,2250,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-01-11T21:47:19.260Z,fieldbeat_report_ticket_number
823784|2254,823784,2254,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-01-12T23:48:10.754Z,fieldbeat_report_ticket_number
859491|2257,859491,2257,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-01-16T18:21:14.875Z,fieldbeat_report_ticket_number
9999|2261,9999,2261,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-01-19T19:52:23.217Z,fieldbeat_report_ticket_number
477229|2262,477229,2262,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-01-22T15:21:50.230Z,fieldbeat_report_ticket_number
454944|2263,454944,2263,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-01-22T20:01:24.351Z,fieldbeat_report_ticket_number
448046|2269,448046,2269,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2024-01-24T16:47:48.921Z,fieldbeat_report_ticket_number
522766|2270,522766,2270,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-01-24T19:29:07.138Z,fieldbeat_report_ticket_number
151048|2271,151048,2271,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-01-25T20:23:49.705Z,fieldbeat_report_ticket_number
813919|2277,813919,2277,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,2024-01-29T21:37:51.200Z,fieldbeat_report_ticket_number
375568|2280,375568,2280,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2024-01-31T21:00:21.362Z,fieldbeat_report_ticket_number
582497|2281,582497,2281,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2024-02-01T12:35:59.572Z,fieldbeat_report_ticket_number
246753|2282,246753,2282,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,2024-02-01T16:24:47.728Z,fieldbeat_report_ticket_number
9999|2283,9999,2283,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,2024-02-01T23:00:07.782Z,fieldbeat_report_ticket_number
823784|2284,823784,2284,PREVENTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-02-02T13:27:22.746Z,fieldbeat_report_ticket_number
142719|2288,142719,2288,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,2024-02-05T21:29:17.073Z,fieldbeat_report_ticket_number
936823|2292,936823,2292,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),2024-02-06T21:16:54.930Z,fieldbeat_report_ticket_number
719390|2295,719390,2295,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-02-07T22:51:12.939Z,fieldbeat_report_ticket_number
555|2313,555,2313,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|ACME,2024-02-15T15:31:00.906Z,fieldbeat_report_ticket_number
362745|2314,362745,2314,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,2024-02-15T21:21:38.298Z,fieldbeat_report_ticket_number
281588|2319,281588,2319,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-02-16T22:26:01.435Z,fieldbeat_report_ticket_number
868853|2339,868853,2339,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,2024-02-27T22:09:29.398Z,fieldbeat_report_ticket_number
709670|5290,709670,5290,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2024-03-05T20:17:14.773Z,fieldbeat_report_ticket_number
603315|5291,603315,5291,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2024-03-05T20:54:49.520Z,fieldbeat_report_ticket_number
177629|2349,177629,2349,CORRECTIVA NO PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-03-07T11:40:03.687Z,fieldbeat_report_ticket_number
603315|2350,603315,2350,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),2024-03-07T15:43:00.557Z,fieldbeat_report_ticket_number
904316|2352,904316,2352,CORRECTIVA PROGRAMADA,FINISHED,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),2024-03-08T11:30:10.247Z,fieldbeat_report_ticket_number
