ticket_custom_field_id,zendesk_ticket_id,field_id,field_value,extracted_at
51|53413906511387,51,53413906511387,,2026-08-06T07:59:40.903Z
27|22950764862363,27,22950764862363,,2026-08-06T07:59:40.903Z
27|22951106310811,27,22951106310811,acelerador_lineal,2026-08-06T07:59:40.903Z
27|22986688179995,27,22986688179995,no,2026-08-06T07:59:40.903Z
27|23570126394907,27,23570126394907,,2026-08-06T07:59:40.903Z
27|34267608050075,27,34267608050075,,2026-08-06T07:59:40.903Z
27|39065204608155,27,39065204608155,,2026-08-06T07:59:40.903Z
27|40011436329115,27,40011436329115,,2026-08-06T07:59:40.903Z
27|43011722643739,27,43011722643739,,2026-08-06T07:59:40.903Z
27|43806479792155,27,43806479792155,,2026-08-06T07:59:40.903Z
27|43806495652507,27,43806495652507,,2026-08-06T07:59:40.903Z
27|46198959369371,27,46198959369371,,2026-08-06T07:59:40.903Z
27|46199043039259,27,46199043039259,,2026-08-06T07:59:40.903Z
27|49468052627483,27,49468052627483,,2026-08-06T07:59:40.903Z
27|50338064550299,27,50338064550299,,2026-08-06T07:59:40.903Z
27|50338094524571,27,50338094524571,,2026-08-06T07:59:40.903Z
27|51536708125979,27,51536708125979,,2026-08-06T07:59:40.903Z
27|53413823625115,27,53413823625115,,2026-08-06T07:59:40.903Z
27|53413857466651,27,53413857466651,,2026-08-06T07:59:40.903Z
27|53413889889179,27,53413889889179,,2026-08-06T07:59:40.903Z
27|53413889909659,27,53413889909659,,2026-08-06T07:59:40.903Z
27|53413906451867,27,53413906451867,,2026-08-06T07:59:40.903Z
27|53413906511387,27,53413906511387,,2026-08-06T07:59:40.903Z
46|22950764862363,46,22950764862363,,2026-08-06T07:59:40.903Z
46|22951106310811,46,22951106310811,dosisoft,2026-08-06T07:59:40.903Z
46|22986688179995,46,22986688179995,no,2026-08-06T07:59:40.903Z
46|23570126394907,46,23570126394907,problema,2026-08-06T07:59:40.903Z
46|34267608050075,46,34267608050075,,2026-08-06T07:59:40.903Z
46|39065204608155,46,39065204608155,,2026-08-06T07:59:40.903Z
46|40011436329115,46,40011436329115,,2026-08-06T07:59:40.903Z
46|43011722643739,46,43011722643739,,2026-08-06T07:59:40.903Z
46|43806479792155,46,43806479792155,,2026-08-06T07:59:40.903Z
46|43806495652507,46,43806495652507,,2026-08-06T07:59:40.903Z
46|46198959369371,46,46198959369371,,2026-08-06T07:59:40.903Z
46|46199043039259,46,46199043039259,,2026-08-06T07:59:40.903Z
46|49468052627483,46,49468052627483,,2026-08-06T07:59:40.903Z
46|50338064550299,46,50338064550299,,2026-08-06T07:59:40.903Z
46|50338094524571,46,50338094524571,,2026-08-06T07:59:40.903Z
46|51536708125979,46,51536708125979,,2026-08-06T07:59:40.903Z
46|53413823625115,46,53413823625115,,2026-08-06T07:59:40.903Z
46|53413857466651,46,53413857466651,,2026-08-06T07:59:40.903Z
46|53413889889179,46,53413889889179,,2026-08-06T07:59:40.903Z
46|53413889909659,46,53413889909659,,2026-08-06T07:59:40.903Z
46|53413906451867,46,53413906451867,,2026-08-06T07:59:40.903Z
46|53413906511387,46,53413906511387,,2026-08-06T07:59:40.903Z
57|22950764862363,57,22950764862363,,2026-08-06T07:59:40.903Z
57|22951106310811,57,22951106310811,acelerador_lineal,2026-08-06T07:59:40.903Z
57|22986688179995,57,22986688179995,no,2026-08-06T07:59:40.903Z
57|23570126394907,57,23570126394907,,2026-08-06T07:59:40.903Z
57|34267608050075,57,34267608050075,,2026-08-06T07:59:40.903Z
57|39065204608155,57,39065204608155,,2026-08-06T07:59:40.903Z
57|40011436329115,57,40011436329115,,2026-08-06T07:59:40.903Z
57|43011722643739,57,43011722643739,,2026-08-06T07:59:40.903Z
