task_equipment_id,fieldbeat_task_id,equipment_uuid,equipment_internal_id,extracted_at
851|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,851,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
853|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,853,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
855|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,855,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
856|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,856,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
858|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,858,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
859|79344240-59be-4d93-a69a-0f5618066558|Linac-201172,859,79344240-59be-4d93-a69a-0f5618066558,Linac-201172,2026-07-27T07:34:27.482Z
860|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,860,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
861|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,861,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
864|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,864,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
865|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,865,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
868|8aedc5fd-0ea3-46ad-997c-25716de85bf8|Linac-201073,868,8aedc5fd-0ea3-46ad-997c-25716de85bf8,Linac-201073,2026-07-27T07:34:27.482Z
869|99471dac-02f2-4be3-b6cd-0ca2f0f1d383|APOTECA-PS,869,99471dac-02f2-4be3-b6cd-0ca2f0f1d383,APOTECA-PS,2026-07-27T07:34:27.482Z
871|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,871,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
872|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,872,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
873|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,873,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
874|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,874,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
875|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,875,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
876|565f60ac-7261-446e-a9bd-fbbaf0b78493|Linac-151673,876,565f60ac-7261-446e-a9bd-fbbaf0b78493,Linac-151673,2026-07-27T07:34:27.482Z
880|21db9a96-4135-450c-a056-099bcfb0112d|APOTECA-CHEMO,880,21db9a96-4135-450c-a056-099bcfb0112d,APOTECA-CHEMO,2026-07-27T07:34:27.482Z
895|acd8e7d8-3050-473b-a516-a10d9f0f66ec|Linac-153935,895,acd8e7d8-3050-473b-a516-a10d9f0f66ec,Linac-153935,2026-07-27T07:34:27.482Z
896|8569b998-f5a4-405d-8bcb-2fd208570906|LINAC-153038,896,8569b998-f5a4-405d-8bcb-2fd208570906,LINAC-153038,2026-07-27T07:34:27.482Z
