equipment_key,equipment_uuid,internal_id,client_key,equipment_type,source_system,updated_at
FIELDBEAT_EQUIPMENT|d6005c44-e53f-47b8-9b59-bf6026a355fa|LAP-LASER-HCVB,d6005c44-e53f-47b8-9b59-bf6026a355fa,LAP-LASER-HCVB,FIELD_BEAT_CLIENT|61.606.500-9|HOSPITAL CARLOS VAN BUREN (SSVSA),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|eca0a3bb-8d52-4889-912f-a736fbf6738d|OIS-CAT,eca0a3bb-8d52-4889-912f-a736fbf6738d,OIS-CAT,FIELD_BEAT_CLIENT||CLÍNICA ALEMANA DE TEMUCO,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|c74730c1-b646-4f33-bd05-db7d3891facf|OIS-INRAD,c74730c1-b646-4f33-bd05-db7d3891facf,OIS-INRAD,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|66b3d167-64bc-4ab3-9c07-cd1e1694ee2f|OIS-CAS,66b3d167-64bc-4ab3-9c07-cd1e1694ee2f,OIS-CAS,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|b049c5ee-3adc-489c-b507-8aa5b7c5150c|TPS-INRAD,b049c5ee-3adc-489c-b507-8aa5b7c5150c,TPS-INRAD,FIELD_BEAT_CLIENT|96.757.430-9|INRAD,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|9aad6d5f-e741-4703-884e-b72fbe2c35c8|TPS-ONCORAD,9aad6d5f-e741-4703-884e-b72fbe2c35c8,TPS-ONCORAD,FIELD_BEAT_CLIENT||CLÍNICA SANATORIO ALEMÁN (ONCORAD),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-201073,,Linac-201073,FIELD_BEAT_CLIENT||CLÍNICA ALEMANA DE TEMUCO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|c9ed7826-3025-410d-8a4b-a98a1c3a7148|OIS-HCM,c9ed7826-3025-410d-8a4b-a98a1c3a7148,OIS-HCM,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|f4e55c45-46c5-44aa-92b9-ba60f9969b40|INC-INFINITY01,f4e55c45-46c5-44aa-92b9-ba60f9969b40,INC-INFINITY01,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|861e4185-f24c-405d-a946-5f7766a3b5e0|LAP-Laser-INC,861e4185-f24c-405d-a946-5f7766a3b5e0,LAP-Laser-INC,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|3c9f783f-6509-4275-971a-89025836a048|Linac-105157,3c9f783f-6509-4275-971a-89025836a048,Linac-105157,FIELD_BEAT_CLIENT|76.105.383-3|TORRE MÉDICA - RANCAGUA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|f7ffa79d-5744-4230-8d57-9eac97412018|Linac-109256,f7ffa79d-5744-4230-8d57-9eac97412018,Linac-109256,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|11ac69d8-c778-4cc6-bc66-6cc0da123a97|CLC-2,11ac69d8-c778-4cc6-bc66-6cc0da123a97,CLC-2,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|bdb16d7c-da1f-4ecf-bf59-944156e74a19|CLC-1,bdb16d7c-da1f-4ecf-bf59-944156e74a19,CLC-1,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|e3943749-ad75-40a6-8ccf-490a6062d80d|RT-2062DS,e3943749-ad75-40a6-8ccf-490a6062d80d,RT-2062DS,FIELD_BEAT_CLIENT|61.606.500-9|ACME,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|b0844209-0341-439d-9ae6-7332a0030108|Linac-156187,b0844209-0341-439d-9ae6-7332a0030108,Linac-156187,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|3f637496-cf7c-4740-89dd-e8276a90f37b|Linac-109374,3f637496-cf7c-4740-89dd-e8276a90f37b,Linac-109374,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||TPS-UC,,TPS-UC,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||Linac-151238,,Linac-151238,FIELD_BEAT_CLIENT|79.560.900-8|RADIO NUCLEAR,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT||INC-INFINITY01,,INC-INFINITY01,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|TPS-CAS|TPS-CAS,TPS-CAS,TPS-CAS,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|INC-INFINITY01|INC-INFINITY01,INC-INFINITY01,INC-INFINITY01,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|882f7044-5efa-41cf-810c-1830f06e76c2|Linac-109452,882f7044-5efa-41cf-810c-1830f06e76c2,Linac-109452,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|4cf4ce3e-4e42-412a-a3f9-64b856a4b5d2|Linac-01,4cf4ce3e-4e42-412a-a3f9-64b856a4b5d2,Linac-01,FIELD_BEAT_CLIENT|Licitación 1057499-21-LR24-HEGC|HOSPITAL EXEQUIEL GONZÁLEZ CORTÉS,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|9986f1f7-f113-484e-8ced-befc4628135c|TPS-HCM,9986f1f7-f113-484e-8ced-befc4628135c,TPS-HCM,FIELD_BEAT_CLIENT|61.607.901-8|SERVICIO DE SALUD DE MAGALLANES,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|138cc2fe-4e63-4517-a754-2c22dc6747c4|INC-156473,138cc2fe-4e63-4517-a754-2c22dc6747c4,INC-156473,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|32f7fbb1-9555-4727-b82a-53ba6294fe5c|Linac-109496,32f7fbb1-9555-4727-b82a-53ba6294fe5c,Linac-109496,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,LINAC,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|cadc3a62-64d8-4d17-81ce-b3a7fb722b2c|HDR-FT02181,cadc3a62-64d8-4d17-81ce-b3a7fb722b2c,HDR-FT02181,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|09509602-cd76-44e3-837c-c21d82d7572c|K-ARL-M3,09509602-cd76-44e3-837c-c21d82d7572c,K-ARL-M3,FIELD_BEAT_CLIENT|96.843.010-6|Tecnoimagen S.A.,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|567f934d-daa7-44e2-a59b-ea5a09c4c55d|HDR-FT02211,567f934d-daa7-44e2-a59b-ea5a09c4c55d,HDR-FT02211,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,,FIELDBEAT,2026-08-06T15:18:59.172Z
FIELDBEAT_EQUIPMENT|59db367f-ab8f-45d0-b0aa-1a5d810ebba2|SIM-1,59db367f-ab8f-45d0-b0aa-1a5d810ebba2,SIM-1,FIELD_BEAT_CLIENT|61602280-6|Hospital Regional de Coyhaique,,FIELDBEAT,2026-08-06T15:18:59.172Z
