used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_number,part_name,quantity,raw_original_part_number,raw_original_part_name,origin_location,photo_ref,dolibarr_product_id,dolibarr_ref,unit_cost,estimated_total_cost,needs_manual_review,extracted_at
2190|9|0|45133165177,2190,,45133165177,Thyratron e2V CX1154L,,45133165177,Thyratron e2V CX1154L,,,,45133165177,,,false,2026-07-01T18:10:26.296Z
2191|2|0|1553878,2191,381608,1553878,Z motor abd Brake,,1553878,Z motor abd Brake,,,,1553878,,,false,2026-07-01T18:10:26.296Z
2194|2|0|N/A,2194,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2197|5|0|1509023,2197,888306,1509023,"cable assembly, area 60 to area 70",,1509023,"cable assembly, area 60 to area 70",,,,1509023,,,false,2026-07-01T18:10:26.296Z
2197|4|0|1509024,2197,888306,1509024,"cable assy, Area 60 to plgipi",,1509024,"cable assy, Area 60 to plgipi",,,,1509024,,,false,2026-07-01T18:10:26.296Z
2198|2|0|N/C,2198,,N/C,N/C,,N/C,N/C,,,,N/C,,,false,2026-07-01T18:10:26.296Z
2199|2|0|N/A,2199,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2201|2|0|,2201,,,Tapete de identificación viales,,,Tapete de identificación viales,,,,,,,false,2026-07-01T18:10:26.296Z
2202|2|0|N/A,2202,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2203|3|0|26786,2203,,26786,jfkgkgkf,,26786,jfkgkgkf,,,,26786,,,false,2026-07-01T18:10:26.296Z
2203|4|0|3678,2203,,3678,bfjkfkf,,3678,bfjkfkf,,,,3678,,,false,2026-07-01T18:10:26.296Z
2203|2|0|256774,2203,,"256774
",jfifkfof,,"256774
",jfifkfof,,,,"256774
",,,false,2026-07-01T18:10:26.296Z
2205|2|0|N/A,2205,560333,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
2208|2|0|,2208,,,"paños microfibras
alcohol 70%
wd40
aceite triflow",,,"paños microfibras
alcohol 70%
wd40
aceite triflow",,,,,,,false,2026-07-01T18:10:26.296Z
2210|2|0|,2210,,,"paños microfibras
wd40
aceite triflow
aceite para caja de motor
alcohol 70%
baterias 12V cant 2
",,,"paños microfibras
wd40
aceite triflow
aceite para caja de motor
alcohol 70%
baterias 12V cant 2
",,,,,,,false,2026-07-01T18:10:26.296Z
2214|2|0|,2214,593101,,panel Xvi,,,panel Xvi,,,,,,,false,2026-07-01T18:10:26.296Z
2216|3|0|45133412189,2216,252179,45133412189,"lever assembly
spares linear actuator",,45133412189,"lever assembly
spares linear actuator",,,,45133412189,,,false,2026-07-01T18:10:26.296Z
2217|2|0|45133305658,2217,566921,45133305658,Multiplex Terminal Unit (MTU) - Cantidad 2,,45133305658,Multiplex Terminal Unit (MTU) - Cantidad 2,,,,45133305658,,,false,2026-07-01T18:10:26.296Z
2219|3|0|T00010988-01-NR2,2219,,T00010988-01-NR2,Soporte Jeringa 20ml,,T00010988-01-NR2,Soporte Jeringa 20ml,,,,T00010988-01-NR2,,,false,2026-07-01T18:10:26.296Z
2219|2|0|T00010986-01-L1,2219,,T00010986-01-L1,Soporte Jeringa 5ml ,,T00010986-01-L1,Soporte Jeringa 5ml ,,,,T00010986-01-L1,,,false,2026-07-01T18:10:26.296Z
2221|2|0|,2221,,,"W40, paños de limpiezas, limpia contacto, etc ",,,"W40, paños de limpiezas, limpia contacto, etc ",,,,,,,false,2026-07-01T18:10:26.296Z
2229|2|0|1234567890,2229,,1234567890,Sensor viales,,1234567890,Sensor viales,,,,1234567890,,,false,2026-07-01T18:10:26.296Z
2230|2|0|123456,2230,125896,123456,Repuesto ,,123456,Repuesto ,,,,123456,,,false,2026-07-01T18:10:26.296Z
2232|2|0|SN,2232,737478,SN,Tarjeta control ODI,,SN,Tarjeta control ODI,,,,SN,,,false,2026-07-01T18:10:26.296Z
2234|2|0|SN,2234,,SN,Rodillo impresora ,,SN,Rodillo impresora ,,,,SN,,,false,2026-07-01T18:10:26.296Z
2237|2|0|NA,2237,979673,NA,no hay,,NA,no hay,,,,NA,,,false,2026-07-01T18:10:26.296Z
2240|2|0|1519103,2240,183512,1519103,pcb dose A,,1519103,pcb dose A,,,,1519103,,,false,2026-07-01T18:10:26.296Z
2241|2|0|45133165177,2241,,45133165177,"Thyratron, hydrogen",,45133165177,"Thyratron, hydrogen",,,,45133165177,,,false,2026-07-01T18:10:26.296Z
2242|2|0|1534958,2242,,1534958,"(03) Kit, Spare, Leaf Motor",,1534958,"(03) Kit, Spare, Leaf Motor",,,,1534958,,,false,2026-07-01T18:10:26.296Z
2244|2|0|SN,2244,,SN,potenciometros ,,SN,potenciometros ,,,,SN,,,false,2026-07-01T18:10:26.296Z
2246|3|0|1007099,2246,,1007099,Longitudinal PCB limit switch assembly,,1007099,Longitudinal PCB limit switch assembly,,,,1007099,,,false,2026-07-01T18:10:26.296Z
