fieldbeat_task_id,linked_zendesk_ticket_id,task_type,priority,state,description,client_key,assigned_to,created_by,created_at,updated_at,start_time,duration_minutes,last_transition_at,finished_data_synced_at,created_in,extracted_at
3139,9289,CORRECTIVA NO PROGRAMADA,2,FINISHED,Problema Dose 2,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,mabreu,TOKEN|eyg:mabreu:WORKER,2025-06-25T23:24:22.218Z,2025-06-26T01:01:22.404Z,2025-06-25T23:23:00.000Z,120,2025-06-26T01:01:15.724Z,,APK,2026-08-06T07:59:39.429Z
3140,9288,CORRECTIVA NO PROGRAMADA,3,FINISHED,Problemas Mylar,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,mabreu,TOKEN|eyg:mabreu:WORKER,2025-06-25T23:27:42.748Z,2025-08-12T21:01:12.334Z,2025-06-25T23:27:00.000Z,120,2025-08-12T21:01:07.222Z,,APK,2026-08-06T07:59:39.429Z
3141,9282,CORRECTIVA PROGRAMADA,2,FINISHED,Problemas de sonido microfono bidireccional,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-06-27T15:39:18.642Z,2025-06-27T17:54:56.319Z,2025-06-26T16:30:00.000Z,120,2025-06-27T17:54:50.401Z,,APK,2026-08-06T07:59:39.429Z
3142,9297,CORRECTIVA PROGRAMADA,2,FINISHED,Problemas de correlacion mov.long,FIELD_BEAT_CLIENT|61.608.404-6|Instituto Nacional del Cáncer (INC),aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-06-27T17:36:31.323Z,2025-06-27T17:54:25.299Z,2025-06-27T16:30:00.000Z,120,2025-06-27T17:54:20.075Z,,APK,2026-08-06T07:59:39.429Z
3143,8775,CORRECTIVA PROGRAMADA,3,FINISHED,VERIFICACION ENERGIA INFINITY,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-06-27T20:21:53.361Z,2025-06-27T20:35:02.939Z,2025-06-25T12:30:00.000Z,120,2025-06-27T20:34:55.464Z,,APK,2026-08-06T07:59:39.429Z
3144,,PREVENTIVA PROGRAMADA,2,FINISHED,Mantenimiento preventivo Linac - Agility ,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,mabreu,TOKEN|eyg:mabreu:WORKER,2025-06-28T14:03:30.860Z,2025-06-30T21:03:03.598Z,2025-06-28T14:02:00.000Z,240,2025-06-30T21:02:56.546Z,,APK,2026-08-06T07:59:39.429Z
3145,,PUESTA EN MARCHA,2,FINISHED,Puesta en Marcha ,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,mabreu,TOKEN|eyg:mabreu:WORKER,2025-06-30T14:08:57.445Z,2025-06-30T14:13:41.985Z,2025-06-30T14:08:00.000Z,240,2025-06-30T14:13:34.544Z,,APK,2026-08-06T07:59:39.429Z
3146,9305,REQUERIMIENTO DEL CLIENTE,2,FINISHED,"configuracion de impresora zebra, chequeo agenda mosaiq",FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,ssalice,TOKEN|eyg:ssalice:WORKER,2025-06-30T20:16:58.197Z,2025-06-30T20:21:19.449Z,2025-06-30T20:16:00.000Z,60,2025-06-30T20:21:12.062Z,,APK,2026-08-06T07:59:39.429Z
3147,,CORRECTIVA PROGRAMADA,2,FINISHED,Calibracion mecanica de panel iView,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-06-30T22:19:29.665Z,2025-07-01T16:43:39.527Z,2025-06-30T20:30:00.000Z,120,2025-07-01T16:43:31.618Z,,APK,2026-08-06T07:59:39.429Z
3148,,CORRECTIVA PROGRAMADA,2,FINISHED,Días 2 y 3,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,mabreu,TOKEN|eyg:mabreu:WORKER,2025-07-01T20:03:11.226Z,2025-08-12T21:01:57.280Z,2025-07-01T20:02:00.000Z,120,2025-08-12T21:01:53.140Z,,APK,2026-08-06T07:59:39.429Z
3149,,CORRECTIVA NO PROGRAMADA,3,FINISHED,FALLA LAMINA CABEZAL AGILITY,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-07-01T21:41:20.508Z,2025-07-01T21:50:25.566Z,2025-07-01T20:30:00.000Z,120,2025-07-01T21:50:19.752Z,,APK,2026-08-06T07:59:39.429Z
3150,,CORRECTIVA PROGRAMADA,2,FINISHED,Día 4 Trabajos CLC,FIELD_BEAT_CLIENT|93.930.000-7|CLÍNICA LAS CONDES,mabreu,TOKEN|eyg:mabreu:WORKER,2025-07-01T21:53:55.200Z,2025-08-12T21:02:30.504Z,2025-07-01T21:53:00.000Z,120,2025-08-12T21:02:26.464Z,,APK,2026-08-06T07:59:39.429Z
3151,9307,CORRECTIVA NO PROGRAMADA,3,FINISHED,Problemas con la Imagen del MLC,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,mabreu,TOKEN|eyg:mabreu:WORKER,2025-07-01T22:46:39.863Z,2025-07-08T19:55:39.838Z,2025-07-01T22:42:00.000Z,120,2025-07-08T19:55:29.597Z,,APK,2026-08-06T07:59:39.429Z
3152,9291,CORRECTIVA PROGRAMADA,2,FINISHED,Inhibit - 2 R error,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-07-01T22:47:22.901Z,2025-07-02T12:51:10.642Z,2025-07-01T20:50:00.000Z,120,2025-07-02T12:51:05.318Z,,APK,2026-08-06T07:59:39.429Z
3153,,CORRECTIVA PROGRAMADA,2,PAUSED,Cambio Magnetròn Versa 1,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,mreyes,TOKEN|eyg:mreyes:WORKER,2025-07-02T14:52:42.137Z,2025-07-02T15:04:49.642Z,2025-06-30T18:00:00.000Z,120,2025-07-02T15:04:49.642Z,,APK,2026-08-06T07:59:39.429Z
3154,,CORRECTIVA NO PROGRAMADA,2,FINISHED,inhibit D2 rly Off,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,aecheverria,TOKEN|eyg:aecheverria:WORKER,2025-07-02T18:09:19.177Z,2025-07-02T18:20:12.656Z,2025-07-02T18:05:00.000Z,120,2025-07-02T18:20:03.622Z,,APK,2026-08-06T07:59:39.429Z
3155,9313,REQUERIMIENTO DEL CLIENTE,2,FINISHED,revision de pc sequencer por desconexion de dia Lunes 30,FIELD_BEAT_CLIENT||CLINICA ALEMANA DE SANTIAGO,ssalice,TOKEN|eyg:ssalice:WORKER,2025-07-03T00:02:09.324Z,2025-07-03T02:03:36.861Z,2025-07-03T00:01:00.000Z,60,2025-07-03T00:55:13.756Z,,APK,2026-08-06T07:59:39.429Z
3156,9234,CORRECTIVA PROGRAMADA,3,FINISHED,Verificacion Inhibit Dose Rate Mon Infinity,FIELD_BEAT_CLIENT|76.746.730-3|RADIO ONCOLOGÍA DEL SUR,ebecker,TOKEN|eyg:ebecker:WORKER,2025-07-03T00:27:06.691Z,2025-07-03T00:44:14.172Z,2025-07-02T19:30:00.000Z,120,2025-07-03T00:43:20.885Z,,APK,2026-08-06T07:59:39.429Z
3157,,,2,ARCHIVED,MP Linac y hexapod,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,,TOKEN|eyg:aecheverria:WORKER,2025-07-04T14:05:18.942Z,2025-07-07T14:34:01.934Z,2025-07-04T13:30:00.000Z,540,2025-07-07T14:34:01.934Z,,APK,2026-08-06T07:59:39.429Z
