identity_id,dolibarr_product_id,identity_type,identity_value,identity_value_normalized,dolibarr_ref,dolibarr_barcode,dolibarr_label,extracted_at
11541|REF|076355,11541,REF,076355,076355,076355,,Flexitron v3.2.1 Software DVD set OS/TCC/TDU/TCP,2026-08-03T04:54:39.696Z
11541|ID|11541,11541,ID,11541,11541,076355,,Flexitron v3.2.1 Software DVD set OS/TCC/TDU/TCP,2026-08-03T04:54:39.696Z
12227|REF|076421-01,12227,REF,076421-01,07642101,076421-01,,Cobalt-60 systems - FCO Braqui,2026-08-03T04:54:39.696Z
12227|ID|12227,12227,ID,12227,12227,076421-01,,Cobalt-60 systems - FCO Braqui,2026-08-03T04:54:39.696Z
12197|REF|080140,12197,REF,080140,080140,080140,,Fiber optic for indexer,2026-08-03T04:54:39.696Z
12197|ID|12197,12197,ID,12197,12197,080140,,Fiber optic for indexer,2026-08-03T04:54:39.696Z
11856|REF|096271A10-00,11856,REF,096271A10-00,096271A1000,096271A10-00,,GAFCHROMIC EBT FILM STRIP (BOX),2026-08-03T04:54:39.696Z
11856|ID|11856,11856,ID,11856,11856,096271A10-00,,GAFCHROMIC EBT FILM STRIP (BOX),2026-08-03T04:54:39.696Z
11331|REF|1001200022,11331,REF,1001200022,1001200022,1001200022,,Gata Hidraúlica que soporta dos toneladas,2026-08-03T04:54:39.696Z
11331|ID|11331,11331,ID,11331,11331,1001200022,,Gata Hidraúlica que soporta dos toneladas,2026-08-03T04:54:39.696Z
10843|REF|1004166,10843,REF,1004166,1004166,1004166,,Recarga de Leksell Gamma Knife® PERFEXION™,2026-08-03T04:54:39.696Z
10843|ID|10843,10843,ID,10843,10843,1004166,,Recarga de Leksell Gamma Knife® PERFEXION™,2026-08-03T04:54:39.696Z
10248|REF|1004818,10248,REF,1004818,1004818,1004818,,"ASSEMBLY, KV ACB BREACKOUT",2026-08-03T04:54:39.696Z
10248|ID|10248,10248,ID,10248,10248,1004818,,"ASSEMBLY, KV ACB BREACKOUT",2026-08-03T04:54:39.696Z
10942|REF|1005032,10942,REF,1005032,1005032,1005032,,Signal Condition PCB (SCC-RHA-Rev. 01),2026-08-03T04:54:39.696Z
10942|ID|10942,10942,ID,10942,10942,1005032,,Signal Condition PCB (SCC-RHA-Rev. 01),2026-08-03T04:54:39.696Z
11878|REF|1005032_usado,11878,REF,1005032_usado,1005032USADO,1005032_usado,,Signal Condition PCB (SCC-RHA-Rev. 01),2026-08-03T04:54:39.696Z
11878|ID|11878,11878,ID,11878,11878,1005032_usado,,Signal Condition PCB (SCC-RHA-Rev. 01),2026-08-03T04:54:39.696Z
11604|REF|1005033,11604,REF,1005033,1005033,1005033,,Signal Condition PCB (RHCA-B),2026-08-03T04:54:39.696Z
11604|ID|11604,11604,ID,11604,11604,1005033,,Signal Condition PCB (RHCA-B),2026-08-03T04:54:39.696Z
11876|REF|1005033_usado,11876,REF,1005033_usado,1005033USADO,1005033_usado,,Signal Condition PCB (RHCA-B),2026-08-03T04:54:39.696Z
11876|ID|11876,11876,ID,11876,11876,1005033_usado,,Signal Condition PCB (RHCA-B),2026-08-03T04:54:39.696Z
10452|REF|1005036,10452,REF,1005036,1005036,1005036,,"SIGNAL CONDITTION PCB (SCC ICB, SCC-B)",2026-08-03T04:54:39.696Z
10452|ID|10452,10452,ID,10452,10452,1005036,,"SIGNAL CONDITTION PCB (SCC ICB, SCC-B)",2026-08-03T04:54:39.696Z
11603|REF|1005038,11603,REF,1005038,1005038,1005038,,Signal Condition PCB (SCC-ICCA-A ),2026-08-03T04:54:39.696Z
11603|ID|11603,11603,ID,11603,11603,1005038,,Signal Condition PCB (SCC-ICCA-A ),2026-08-03T04:54:39.696Z
11602|REF|1005039,11602,REF,1005039,1005039,1005039,,Signal Condition PCB (SCC-HTCA-A),2026-08-03T04:54:39.696Z
11602|ID|11602,11602,ID,11602,11602,1005039,,Signal Condition PCB (SCC-HTCA-A),2026-08-03T04:54:39.696Z
11601|REF|1005040,11601,REF,1005040,1005040,1005040,,Signal Condition PCB (SCC-HTCA-B),2026-08-03T04:54:39.696Z
11601|ID|11601,11601,ID,11601,11601,1005040,,Signal Condition PCB (SCC-HTCA-B),2026-08-03T04:54:39.696Z
11647|REF|1005627,11647,REF,1005627,1005627,1005627,,Arm control board (ACB) - XVI,2026-08-03T04:54:39.696Z
11647|ID|11647,11647,ID,11647,11647,1005627,,Arm control board (ACB) - XVI,2026-08-03T04:54:39.696Z
11172|REF|1006059,11172,REF,1006059,1006059,1006059,,"FRU, DOSE BOARD",2026-08-03T04:54:39.696Z
11172|ID|11172,11172,ID,11172,11172,1006059,,"FRU, DOSE BOARD",2026-08-03T04:54:39.696Z
12100|REF|1006177,12100,REF,1006177,1006177,1006177,,SK13A5 to PLKVACB5A (kV pivot),2026-08-03T04:54:39.696Z
12100|ID|12100,12100,ID,12100,12100,1006177,,SK13A5 to PLKVACB5A (kV pivot),2026-08-03T04:54:39.696Z
10799|REF|1006442-LE,10799,REF,1006442-LE,1006442LE,1006442-LE,,Marco Leksell Coordinate Frame G,2026-08-03T04:54:39.696Z
10799|ID|10799,10799,ID,10799,10799,1006442-LE,,Marco Leksell Coordinate Frame G,2026-08-03T04:54:39.696Z
10819|REF|1006679,10819,REF,1006679,1006679,1006679,,Dose B PCB,2026-08-03T04:54:39.696Z
10819|ID|10819,10819,ID,10819,10819,1006679,,Dose B PCB,2026-08-03T04:54:39.696Z
12071|REF|1006737_usado,12071,REF,1006737_usado,1006737USADO,1006737_usado,,SIB PCB,2026-08-03T04:54:39.696Z
12071|ID|12071,12071,ID,12071,12071,1006737_usado,,SIB PCB,2026-08-03T04:54:39.696Z
12187|REF|1006752,12187,REF,1006752,1006752,1006752,,"PCB assy, HDRE Attenuator",2026-08-03T04:54:39.696Z
12187|ID|12187,12187,ID,12187,12187,1006752,,"PCB assy, HDRE Attenuator",2026-08-03T04:54:39.696Z
10964|REF|1006860,10964,REF,1006860,1006860,1006860,,ION PUMP,2026-08-03T04:54:39.696Z
10964|ID|10964,10964,ID,10964,10964,1006860,,ION PUMP,2026-08-03T04:54:39.696Z
11641|REF|1007099,11641,REF,1007099,1007099,1007099,,Longitudinal PCB limit switch assembly,2026-08-03T04:54:39.696Z
11641|ID|11641,11641,ID,11641,11641,1007099,,Longitudinal PCB limit switch assembly,2026-08-03T04:54:39.696Z
11918|REF|1007101,11918,REF,1007101,1007101,1007101,,CAMERA CONTROL CARD,2026-08-03T04:54:39.696Z
11918|ID|11918,11918,ID,11918,11918,1007101,,CAMERA CONTROL CARD,2026-08-03T04:54:39.696Z
10721|REF|1007288,10721,REF,1007288,1007288,1007288,,KV DCB Control Board,2026-08-03T04:54:39.696Z
10721|ID|10721,10721,ID,10721,10721,1007288,,KV DCB Control Board,2026-08-03T04:54:39.696Z
11808|REF|100736-0Z,11808,REF,100736-0Z,1007360Z,100736-0Z,,Cable Triaxial de 20 m,2026-08-03T04:54:39.696Z
11808|ID|11808,11808,ID,11808,11808,100736-0Z,,Cable Triaxial de 20 m,2026-08-03T04:54:39.696Z
12117|REF|1007498,12117,REF,1007498,1007498,1007498,,Longitudinal potentiometer - complete assembly,2026-08-03T04:54:39.696Z
12117|ID|12117,12117,ID,12117,12117,1007498,,Longitudinal potentiometer - complete assembly,2026-08-03T04:54:39.696Z
12116|REF|1007499,12116,REF,1007499,1007499,1007499,,Lateral potentiometer (complete assembly),2026-08-03T04:54:39.696Z
12116|ID|12116,12116,ID,12116,12116,1007499,,Lateral potentiometer (complete assembly),2026-08-03T04:54:39.696Z
11569|REF|1007545,11569,REF,1007545,1007545,1007545,,MLC REFLECTOR SPARES KIT,2026-08-03T04:54:39.696Z
11569|ID|11569,11569,ID,11569,11569,1007545,,MLC REFLECTOR SPARES KIT,2026-08-03T04:54:39.696Z
12061|REF|1007597,12061,REF,1007597,1007597,1007597,,Circuit breaker kit CB1 (16A),2026-08-03T04:54:39.696Z
12061|ID|12061,12061,ID,12061,12061,1007597,,Circuit breaker kit CB1 (16A),2026-08-03T04:54:39.696Z
10784|REF|1007897,10784,REF,1007897,1007897,1007897,,"Spare Kit, Cathode filament carrier assy",2026-08-03T04:54:39.696Z
10784|ID|10784,10784,ID,10784,10784,1007897,,"Spare Kit, Cathode filament carrier assy",2026-08-03T04:54:39.696Z
12003|REF|1008412,12003,REF,1008412,1008412,1008412,,"PCB assembly, linac interface (programmed) MK3i",2026-08-03T04:54:39.696Z
12003|ID|12003,12003,ID,12003,12003,1008412,,"PCB assembly, linac interface (programmed) MK3i",2026-08-03T04:54:39.696Z
11999|REF|1008461,11999,REF,1008461,1008461,1008461,,Control processor assembly,2026-08-03T04:54:39.696Z
11999|ID|11999,11999,ID,11999,11999,1008461,,Control processor assembly,2026-08-03T04:54:39.696Z
11592|REF|1008517,11592,REF,1008517,1008517,1008517,,MTU PCB 1553 - XVI only,2026-08-03T04:54:39.696Z
11592|ID|11592,11592,ID,11592,11592,1008517,,MTU PCB 1553 - XVI only,2026-08-03T04:54:39.696Z
11122|REF|1008587,11122,REF,1008587,1008587,1008587,,MLC ELECTRONICS ASSEMBLY,2026-08-03T04:54:39.696Z
11122|ID|11122,11122,ID,11122,11122,1008587,,MLC ELECTRONICS ASSEMBLY,2026-08-03T04:54:39.696Z
11683|REF|1009089,11683,REF,1009089,1009089,1009089,,"Hand Held Controller, Infinity (HHC)",2026-08-03T04:54:39.696Z
11683|ID|11683,11683,ID,11683,11683,1009089,,"Hand Held Controller, Infinity (HHC)",2026-08-03T04:54:39.696Z
10900|REF|1009630,10900,REF,1009630,1009630,1009630,,Llave dinamométrica Extend,2026-08-03T04:54:39.696Z
10900|ID|10900,10900,ID,10900,10900,1009630,,Llave dinamométrica Extend,2026-08-03T04:54:39.696Z
11609|REF|1009675,11609,REF,1009675,1009675,1009675,,Hook Pot Installation,2026-08-03T04:54:39.696Z
11609|ID|11609,11609,ID,11609,11609,1009675,,Hook Pot Installation,2026-08-03T04:54:39.696Z
11971|REF|1009687,11971,REF,1009687,1009687,1009687,,Fru Squirrel frame grabber,2026-08-03T04:54:39.696Z
11971|ID|11971,11971,ID,11971,11971,1009687,,Fru Squirrel frame grabber,2026-08-03T04:54:39.696Z
11877|REF|1010256_usado,11877,REF,1010256_usado,1010256USADO,1010256_usado,,"Analog output, 12 bit (AO12)",2026-08-03T04:54:39.696Z
11877|ID|11877,11877,ID,11877,11877,1010256_usado,,"Analog output, 12 bit (AO12)",2026-08-03T04:54:39.696Z
10176|REF|1010260,10176,REF,1010260,1010260,1010260,,BEAM SPLITTER MIRROR,2026-08-03T04:54:39.696Z
10176|ID|10176,10176,ID,10176,10176,1010260,,BEAM SPLITTER MIRROR,2026-08-03T04:54:39.696Z
11570|REF|1010495,11570,REF,1010495,1010495,1010495,,CAMERA MIRROR ASSEMBLY,2026-08-03T04:54:39.696Z
11570|ID|11570,11570,ID,11570,11570,1010495,,CAMERA MIRROR ASSEMBLY,2026-08-03T04:54:39.696Z
11008|REF|1010563,11008,REF,1010563,1010563,1010563,,Connector block,2026-08-03T04:54:39.696Z
11008|ID|11008,11008,ID,11008,11008,1010563,,Connector block,2026-08-03T04:54:39.696Z
11907|REF|101064,11907,REF,101064,101064,101064,,LID CONTAINER + PIPE ADAPTER FOR ELT,2026-08-03T04:54:39.696Z
11907|ID|11907,11907,ID,11907,11907,101064,,LID CONTAINER + PIPE ADAPTER FOR ELT,2026-08-03T04:54:39.696Z
