lifecycle_event_id,fieldbeat_task_id,event_date,client_key,client_name,equipment_internal_id,equipment_uuid,task_type,task_state,technician_names,linked_zendesk_ticket_id,used_part_id,raw_part_identifier,part_name,quantity,dolibarr_product_id,dolibarr_ref,dolibarr_label,match_status,match_method,match_confidence,replacement_event_inferred,event_type_inferred,task_equipment_count,association_confidence_score,association_confidence_label,association_confidence_factors,after_hours_minutes,business_minutes,calculation_status,calculation_notes
1835_NOEQUIP_1835|2|0|,1835,2023-02-06T11:30:06.395Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,UC CHRISTUS - SCA,,,PREVENTIVA PROGRAMADA,FINISHED,acorbea,,1835|2|0|,,"grasa ep2
paños
alchool
wd40
amarras plásticas",,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,PREVENTIVE_REPLACEMENT_LIKELY,0,4,Insuficiente,task sin equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,240,MISSING_EQUIPMENT,la task no tiene equipo asociado en fieldbeat_task_equipments | repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1836_Linac-109256_1836|2|0|,1836,2023-02-06T11:30:23.254Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - SCA,UC CHRISTUS - SCA,Linac-109256,,PREVENTIVA PROGRAMADA,FINISHED,acorbea,,1836|2|0|,,"grasa ep2
paños microfibras
wd40
amarras plásticas",,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,240,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1845_LINAC-153038_1845|2|0|45133407315,1845,2023-02-16T20:00:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA PROGRAMADA,FINISHED,rguapache,,1845|2|0|45133407315,45133407315,"Monitor de 19"" TFT monitor NEC",,10611,45133407315,Monitor 19 TFT Fascia Lado A y B,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),30,90,OK,
1846_APOTECA-CHEMO_1846|2|0|NA,1846,2023-02-17T15:05:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,APOTECA-CHEMO,,,FINISHED,jecheverria,,1846|2|0|NA,NA,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,false,UNKNOWN,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,60,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1848_Linac-152171_1848|2|0|,1848,2023-02-17T20:00:00.000Z,FIELD_BEAT_CLIENT|96.770.100-9|CLINICA ALEMANA DE SANTIAGO,CLINICA ALEMANA DE SANTIAGO,Linac-152171,,PREVENTIVA PROGRAMADA,FINISHED,acorbea,,1848|2|0|,,"grasa ep2
paños microfibras
wd40
aciete lubricante triflow",,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,PREVENTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),240,90,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1851_APOTECA-CHEMO_1851|2|0|NA,1851,2023-02-20T11:45:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,APOTECA-CHEMO,,CORRECTIVA NO PROGRAMADA,FINISHED,jecheverria,,1851|2|0|NA,NA,NA,,,,,PLACEHOLDER_VALUE,PLACEHOLDER_REJECTED,0,true,CORRECTIVE_REPLACEMENT_LIKELY,1,20,Insuficiente,task con 1 solo equipo asociado | sin match Dolibarr confiable (PLACEHOLDER_VALUE),0,60,OK,repuesto sin match confiable en Dolibarr (match_status=PLACEHOLDER_VALUE) - excluido del cálculo de intervalos
1855_Linac-153935_1855|2|0|1018265,1855,2023-02-22T18:30:00.000Z,FIELD_BEAT_CLIENT|81.698.900-0|UC CHRISTUS - CECA,UC CHRISTUS - CECA,Linac-153935,,CORRECTIVA PROGRAMADA,FINISHED,mreyes,534360,1855|2|0|1018265,1018265,Fru Z Motor Brush,,11961,1018265_proveedor_local,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",MATCHED,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,85,Alta,task con 1 solo equipo asociado | match Dolibarr por método débil (REF_LIKE),0,140,OK,
"1858_Linac-201110_1858|2|0|45133317849
45133317850
1016984
45133317902
45133317840
45133318462
45133318485
45133318486
45133318488",1858,2023-02-15T12:00:00.000Z,FIELD_BEAT_CLIENT|76.746.730-3|CLÍNICA SANATORIO ALEMÁN (ONCORAD),CLÍNICA SANATORIO ALEMÁN (ONCORAD),Linac-201110,,CORRECTIVA NO PROGRAMADA,FINISHED,ebecker,,"1858|2|0|45133317849
45133317850
1016984
45133317902
45133317840
45133318462
45133318485
45133318486
45133318488","45133317849
45133317850
1016984
45133317902
45133317840
45133318462
45133318485
45133318486
45133318488","PCB Interconnect PCB 811
PCB Interconnect PCB 812
ISO Rotation Brake
Fine potentiometer
Check and coarse potentiometer 2 NR
Power supply EIM
Base to EIM cable SKT810A-PL801A
Base to EIM cable SKT810B-PL801B
Base to EIM cable SKT810E-PL801E",,,,,AMBIGUOUS_MATCH,REF_LIKE,0.5,true,CORRECTIVE_REPLACEMENT_LIKELY,1,40,Baja,task con 1 solo equipo asociado | match Dolibarr ambiguo (múltiples candidatos),0,120,OK,repuesto sin match confiable en Dolibarr (match_status=AMBIGUOUS_MATCH) - excluido del cálculo de intervalos
1860_LINAC-153038_1860|11|0|261308039505J,1860,2023-02-27T09:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA NO PROGRAMADA,FINISHED,rguapache,,1860|11|0|261308039505J,261308039505J,Flightube Orings,,11748,261308039505J,Seal BS1806/223 o ring Viton,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),120,0,OK,
1860_LINAC-153038_1860|10|0|45133304800,1860,2023-02-27T09:30:00.000Z,FIELD_BEAT_CLIENT|70377400-8|FUNDACION ARTURO LOPEZ PEREZ,FUNDACION ARTURO LOPEZ PEREZ,LINAC-153038,,CORRECTIVA NO PROGRAMADA,FINISHED,rguapache,,1860|10|0|45133304800,45133304800,ElectronGun Assy,,10375,45133304800,SL ELECTRON GUN ASSY,MATCHED,REF_EXACT,1,true,CORRECTIVE_REPLACEMENT_LIKELY,1,100,Alta,task con 1 solo equipo asociado | match Dolibarr exacto/alias (REF_EXACT),120,0,OK,
