used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
2110|4|0|1547237,2110,,"Kit, Luminus Proj Assy and PCB, Assy Led Control",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
2110|7|0|1556287,2110,,"(02) Kit, spares, Diaphragms Brake",1556287,1556287,12261,1556287,,"KIT, SPARES, DIAPHRAGM BRAKE",REF_EXACT,1,MATCHED,false,
2110|2|0|4513316442301M,2110,,(02) Water Filter,4513316442301M,4513316442301M,10312,4513316442301M,,FILTER ELEMENT 5 MICRON,REF_EXACT,1,MATCHED,false,
2110|6|0|1507972,2110,,Voltage regulator pcb Assy,1507972,1507972,11308,1507972,,"PCB assy ODI,Voltage Regulator PCB Assy",REF_EXACT,1,MATCHED,false,
2110|8|0|1018559,2110,,"(02) Assy, Bracket & Fan",1018559,1018559,10724,1018559,,"ASSY, BRACKET & FAN",REF_EXACT,1,MATCHED,false,
2113|4|0|45133502026,2113,568581,"assembly, xrays tube",45133502026,45133502026,12138,45133502026_usado,,X-ray tube (MR),REF_LIKE,0.5,MATCHED,true,
2114|2|0|N/C,2114,,N/C,N/C,NC,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2117|2|0|N/A,2117,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2122|2|0|45133165177,2122,115048,"thyratron, hydtogen",45133165177,45133165177,10716,45133165177,,THYRATRON e2v CX1154L,REF_EXACT,1,MATCHED,false,
2123|2|0|1018265,2123,,FRU Z MOTOR BRUSH SET (Electrocraft),1018265,1018265,11961,1018265_proveedor_local,,"Proveedor Local, FRU MOTOR BRUSH SET (ELECTROCRAFT)",REF_LIKE,0.5,MATCHED,true,
2125|2|0|1018559,2125,,"(02) Assy, Bracket & Fan",1018559,1018559,10724,1018559,,"ASSY, BRACKET & FAN",REF_EXACT,1,MATCHED,false,
2127|2|0|1527814,2127,,"IPCU, PSU Ion Pump",1527814,1527814,11929,1527814,,"PSU, ION PUMP",REF_EXACT,1,MATCHED,false,
2129|3|0|N/A,2129,,Térmico impresora Zebra,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2133|2|0|1534958,2133,0101,Kit Spare Leaf MO  Cant: 1,1534958,1534958,11034,1534958,,Leaf motor spares kit,REF_EXACT,1,MATCHED,false,
2134|3|0|1556287,2134,0101,KIT SPARES DIAPHRAGM BRAKE Cant: 2,1556287,1556287,12261,1556287,,"KIT, SPARES, DIAPHRAGM BRAKE",REF_EXACT,1,MATCHED,false,
2134|2|0|1564298,2134,0101,PCB DLG and DIAPHRAGM,1564298,1564298,11039,1564298,,Diaphragm/DLG PCB,REF_EXACT,1,MATCHED,false,
2135|2|0|1024183,2135,823784,Water Pump,1024183,1024183,12209,1024183,,"Water pump, Flowjet 436990",REF_EXACT,1,MATCHED,false,
2140|2|0|,2140,,Cable DVI 5mts,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2141|2|0|1016518,2141,,detector panel PSU,1016518,1016518,11006,1016518,,Detector Panel PSU (XRD- EPS),REF_EXACT,1,MATCHED,false,
2142|2|0|N/A,2142,,Fuente de Iridium 192,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2143|2|0|1517657,2143,777777,"PCB ASSY, LEAF MOTOR DRIVE",1517657,1517657,10701,1517657,,"PCB ASSY, LEAF MOTOR DRIVE - 1 Only",REF_EXACT,1,MATCHED,false,
2145|2|0|,2145,,"Alcohol
Wd40
aceite lubricante triflow
grasa Ep2
paños microfibras
aceite de caja mécanica",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2146|2|0|4513316442301M,2146,,"water filter. cant = 2
wd40
aceite triflow
grasa ep2",4513316442301M,4513316442301M,10312,4513316442301M,,FILTER ELEMENT 5 MICRON,REF_EXACT,1,MATCHED,false,
2147|2|0|,2147,,(05) nueces cortas,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2148|2|0|N/A,2148,,N/A,N/A,NA,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2149|2|0|,2149,,Tarjeta PCB de telemetro,,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2150|2|0|,2150,107185,"paños microfibras
alcohol
wd40
aceite lubricante
spray especial para sistema óptico",,,,,,,PLACEHOLDER_REJECTED,0,PLACEHOLDER_VALUE,true,
2151|3|0|1502613,2151,,"mod kit, láser odi lamp",1502613,1502613,10994,1502613,,Laser ODI Spares Kit,REF_EXACT,1,MATCHED,false,
2151|2|0|4513 330 4800,2151,,electron gun assy,4513 330 4800,45133304800,10375,45133304800,,SL ELECTRON GUN ASSY,REF_NORMALIZED_EXACT,0.85,MATCHED,false,
2152|2|0|1500954,2152,,Voltage Regulator PCB Assy,1500954,1500954,,,,,NONE,0,NO_MATCH,true,
